,"When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye cal",led,False," saccades . 
"
,One of the largest census efforts to date assemb,led,False," , by hand , a nearly complete record of three academic fields : computer science , history , and business [ 19 ] . 
"
,The second provides an example of the type of research enab,led,False," by our system and uses the 2011 and 2017 censuses to investigate the “ leaky pipeline ” problem in faculty retention . 
"
,"In Spanish poetry , the syntactic configurations under which enjambment takes place have been described extensively , and detai",led,False," studies on the use of enjambment by individual authors exist ( see Martínez Cantón , 2011 for an overview ) including , among others Quilis ( 1964 ) , Domínguez Caparrós , ( 2000 ) , Paraíso , ( 2000 ) , Spang ( 1983 ) for a description of enjambment , and Alarcos ( 1966 ) , Senabre ( 1982 ) , Luján ( 2006 ) , Martínez Fernández ( 2010 ) for case-studies on a single author . 
"
,"More recently , institutions of academic expertise have been subject to a large and growing outbreak of so-cal",led,False," predatory journals — journals that will publish almost anything for a fee . 
"
,Utilization of busted CFL in developing cheap and efficient segmented compact ,LED,False," bulbs 
"
,"In response to the said problem , this project study gives solution to the problem of the society concerning environment , health and safety as well energy conservation , by developing a segmented compact light-emitting diode ( SC",LED,False," ) bulb from busted CFL that are efficient , economical , and does not contain toxic chemicals . 
"
,There are three general types of lighting that are widely used in the household nowadays : the ( light-emitting diode ) ,LED,False," bulb , ( compact fluorescent light ) CFL bulb and the incandescent bulb . 
"
,Since the CFLs are the most commonly used light bulbs in the residential and has a great compatibility to ,LED,False," in terms of design and materials , the proponents conducted a study about innovating and recycling CFL into a more efficient and environment friendly "," light bulb . 
"
,These areas of interest are cal,led,False," Geofences . 
"
,"Indeed , some commentators have cal",led,False," replication the “ gold standard ” of research evidence ( Jasny , Chin , Chong , & Vignieri , 2011 , p. 1225 ) and a “ linchpin of the scientific process ” ( Let ’s replicate , 2006 , p. 330 ) . 
"
,"To gain insight into these issues in the context of L2 research , the systematic review provides a synthesis of L2 studies in journal articles that self-labe",led,False," as replications . 
"
,Maybe this is not surprising considering that a recent study analyzing the relationship between posture and femur cross-sectional properties fai,led,False," to find differences between birds and non-avian theropods [ 24 ] , suggesting that simple morphological correlates of limb posture should be used with caution . 
"
,"He then became interested in philosophy , and earned a Ph.D. in philosophy from Harvard University in 1918 with a dissertation entit",led,False," "" Continuity : Study in Methodology "" . 
"
,"Both Chao and Yang were known for their good senses of humor , he was known particularly for his love of subtle jokes and language puns : they published a family history entit",led,False," , Life with Chaos : the autobiography of a Chinese family . 
"
,These participants were cal,led,False," "" cases "" in his original paper , but later came to be known as semantic roles or thematic relations , which are similar to theta roles in generative grammar . 
"
,"Following his move to the University of California , Berkeley , in 1971 , this theory eventually evolved into a broader cognitive linguistic theory cal",led,False," Frame Semantics ( 1976 ) . 
"
,"There , he started a project cal",led,False," FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora . 
"
,Much more detai,led,False," speculation based on these scant historical details has been interpolated by many of Galois' Galois ' biographers ( most notably by Eric Temple Bell in Men of Mathematics ) , such as the frequently repeated speculation that the entire incident was stage-managed by the police and royalist factions to eliminate a political enemy . [ 14 ] 
"
,General Gordon left behind him a uniquely detai,led,False," diary of his life and times , written in English . 
"
