x, Në ëñënämaï cedïmïni inte botö weca ongönämaï ,gobäewedäni,True," ,’ anceboimpa ,” ante Itota apënegacäimpa "
 , Ede taadö godinque guëa waa apënedinque piyënë cedämaï ïmïna ïninque tömengä ïñömö në awënë apente anguingä weca ente mäocä ,gobaïmipa,True, 
 ," wëneidi guiquënë Itota ingante äninque , — Bitö cöwë wido cecete ante pönëmi ïninque ede odë wengänäidi baönë ämi ",gobaïmönipa,True, 
 ," Ede , Wengonguï , bitö Ao ämi ate botö ñöwo odömänoidi weca ëñace ",gobaïmopa,True," , ante Wengonguï ingante mïnitö beyë ante botö cöwë apënebopa "
 ," Mänömaï cedinque tömënäni eyepë cënäni ate ede , Wipo teëmë ëmïñente önetamö ïñömö ",gobaimpa,True," , ante guïñente wedinque , Wodëï bacëimpa , ante cedinque mönitö cenguï tömëmö ince epënë gäwapënë wido cegadänimpa "
 , Ayë adocönë owocabo ince adoyömö godongämë quëwënïnäni ince näëmë weetedö weetë cedäni ïninque tömënäni oncö woquinque näwë ,gobaïnänipa,True, 
 , Cëwipa woboyë pëmente ate ëmënö ede ëmënö ede ,gobaingä,True, ingante mïnitö dice ace gomïnitawogaa 
 , Weetë ïingä mïñë tee empo godinque tömengä mäningä ingante ede wïwa adinque ëmö cete ,gobaingampa,True, 
x, Botö weca ongönämaï ,gobäwe,True," , angantapa "
x, Ïninque Ootiya wodi quëwengäñedë idegoidi ïnänite babidöniaidi ponte ö ë ,gobe,True, wabeca mäodäni gogadänimpa 
x, Bitö Itota mïñë në ,gobi,True," inte epë becebiimpa , ante bitö guiyangä ingante pede godömi engä ïninque bitö godönï beyë eyepë encebiimpa ,” ante apënedinque Itota tömënäni ïnänite da godongä gogadänimpa "
x," Timönö Pegodo tömengä ingante , — Awënë , edömë ",gobii,True, 
x, Bitö tee mönete nanguï caate wequinque Eedotadëë ,gobipa,True," , änäni ëñëninque mäninque ante ëñëmopa "
x," Ïñempa bitö nanguï ämi beyenque botö ede , Tömanta ede godonte impa , ante ñimpo cebo abe tawente ",gobitapa,True, 
x, Botö ocë ëmente ,gobo,True, ate mïnitö botö ïmote ante diqui diqui mïmïni incete adämaï inguïmïni ïmïnipa 
x," Ayë wacä bitö ïmite , Bado , mäninganca mongente mäobi ",goboe,True," , angä ëñëninque bitö tömengä nänö äninganca mäobi goyongante ayë adoganca godömenque mongente mäobi gocäe "
x, Botö dice tömengä mïñë ,gobogaa,True, 
x," Ede wëmö ïñömö në gocä ïñömö tömengä ede , Ædönö ",goboo,True," , ante ëñënämaï ingampa "
x," Wengonguï , Mänömaïnö ante apënecebiimpa , ante botö ïmote da pönongä pönïmo inte botö tömänäni quëwëñömö gote apënequënëmo inte ",gobopa,True, 
x," Ante Etebä godömenque apënedinque , “ Ayë ëmëwo pedinque coadenta wadepo nänö ëñagaïñedë Möitee wodi , Idegoidi botö tönïñadäni ïnänite ëñace ",gobote,True," , ante ëñace gocantapa "
