X,This paper describes a collaborative pilot project ,focusing,False," on a unique collection of 17th Century Zurbarán paintings . 
"
X,While studies of the psychology of art have ,focused,False," on individual works and distinctions between representative / non-representative topics , no work has been completed on the aesthetic appreciation of collections or of devotional themes . 
"
X,"Because assembling such a full census is difficult , past studies have tended to avoid this task and have instead used samples of researchers [ 8 – 11 ] , usually specific to a particular field [ 12 – 16 ] , and often ",focused,False," on the scientific elite [ 17 , 18 ] . 
"
X,"Finally , our study complements Navarro’s Navarro ’s ( 2016 ) automatic metrical analyses of Spanish Golden Age sonnets , by covering a wider period and ",focusing,False," on enjambment . 
"
X,The study in question ,focuses,False," on the attention , proposing and evaluation in the context of the classroom . 
"
X,Their paper highlighted the merits of such a theory of by ,focusing,False," on the ' let alone ' construction . 
"
X,"In many cases , he ",focused,False," his attention on the lives of women and identified how a woman devoted to Jesus should live her life . 
"
X,"Nida's Nida 's dynamic-equivalence theory is often held in opposition to the views of philologists who maintain that an understanding of the source text ( ST ) can be achieved by assessing the inter-animation of words on the page , and that meaning is self-contained within the text ( i.e. much more ",focused,False," on achieving semantic equivalence ) . 
"
X,F-E ,focuses,False," attention on the message itself , in both form and content . 
"
X,The doctor has an injection gun and while my mother is ,focused,False," on my daughter , she puts it firmly against my mother’s mother ’s arm and puts the chip in . 
"
X,We are run as a Hybrid Organization - a for-profit company ,focused,False," on achieving a social good . 
"
X,Our community culture is ,focused,False," on wikiLove and civility . 
"
X,The study ,focuses,False," on ozone-temperature covariation : ground-level ozone increases with temperatures . 
"
X,"Many neo-pagan religions , such as Wicca , use aspects of ancient Greek religions in their practice ; Hellenic polytheism instead ",focuses,False," exclusively on the ancient religions , as far as the fragmentary nature of the surviving source material allows . 
"
X,"By adopting contemporary legislation and by becoming a party to other recently adopted international instruments on human rights , Albania has associated itself with countries that are enforcing a number of national strategies and programmes ",focusing,False," on specific population groups , especially women , children , persons in need and minorities , among others . 
"
X,"In many cases , a business that ",focuses,False," on one product or a few products ( sometimes called its “ core competency ” ) is more successful than firms that try to make a wide range of products . 
"
,"Don't Do n't pry into his or her personal life — keep things light , fun , and ",focused,False," on worry-free subjects . 
"
