x,"As an example , research shows that greater diversity within a community or group can ",lead ,False,"to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ] by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers . 
",
,"Such an organization is surely permissible , but it has had the unfortunate ( and likely intended ) effect of muddying debates in the public forum by mis",leading,False," people into thinking that the college speaks for the pediatric profession at large . 
",
x,This ,leads,False," to the question driving our study : 
",
x,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could ",lead ,False,"to a significant finding ( see limitations below ) , but at least for this study , the only significant finding was the difference between cardinal numbers and some . 
",
x,"As of 2016 , the demand for electricity in the residential is ",leading,False," among the different sectors . 
",
x,"A mutant is a copy of the system in which a change has been done that , in most cases , will ",lead ,False,"to a behaviour different than expected . 
",
,"Second , in their study , a ",lead ,False,"mass was attached at the distal end of the experimental tail , probably generating excessive displacement of the CoM . 
",
,"Born in Tianjin with ancestry in Changzhou , Jiangsu province , Chao went to the United States with a Boxer Indemnity Scholarship in 1910 to study mathematics and physics at Cornell University , where he was a classmate and lifelong friend of Hu Shih , the ",leader,False," of the New Culture Movement . 
",
x,"During this period of time , he collaborated with Luo Changpei and Li Fang-Kuei , the other two ",leading,False," Chinese linguists of his generation , to edit and render into Chinese Bernhard Karlgren's Karlgren 's monumental Etudes sur la Phonologie Chinoise ( published in 1940 ) . 
",
,"There were plans to initiate an uprising during his funeral , but during the same time frame the ",leaders,False," heard of General Jean Maximilien Lamarque's Lamarque 's death , and the rising was postponed without any uprising occurring until 5 June . 
",
,He also had a ,lead ,False,"role in the critically acclaimed British mini-serial Dancing on the Edge , as music journalist Stanley Mitchell , for which he earned a nomination for Best Actor in a Miniseries or a Television Film at the Satellite Awards . 
",
,He also led the Owls with 67 runs scored and shared the team ,lead ,False,"with 11 stolen bases . 
",
,"Holt again started 2014 in Triple-A , but was called up May 17 after an injury to Will Middlebrooks and hit ",leadoff,False," for the rest of the season . 
",
,"Moreau made her theatrical debut in 1947 , and established herself as one of the ",leading,False," actresses of the Comédie-Française . 
",
,"She debuted at the Comédie-Française in Ivan Turgenev's Turgenev 's A Month in the Country [ 6 ] and , by her 20s , was already one of ",leading,False," actresses in the theatre's theatre 's troupe . [ 2 ] 
",
,He had the ,lead ,False,"role in 2008's 2008 's The Christmas Cottage as Thomas Kinkade , alongside acclaimed actor Peter O'Toole . 
",
,He also had the ,lead ,False,"role in the 2009 version of Friday the 13th as Clay Miller , a character who heads out to Camp Crystal Lake in search of his sister who has gone missing . [ 12 ] 
",
,"Pachomius had not named a successor , and several brothers p",leaded,False," with Theodorus to assert himself as head of the Koinonia when the sickly man died . 
",
,Unfortunately for the would-be ,leader,False," , Pachomius recovered , and upon hearing of Theodorus’ Theodorus ’ decision , exiled the ambitious young man . 
",
,Although it seems Theodorus practiced complete submission to the new ,leader,False," of the Koinonia , problems soon arose in several Pachomian monasteries that viewed Horsiesios as a weak "," . 
"
