,"( In this case , atoms",appear,True,to have been destroyed . )
,"Once again , this phenomenon has the effect of making peer-reviewed journals",appear,True,less legitimate .
,Yet some Frontiers journals,appear,True,"to have engaged in bad behavior , whether for profit or for some other motive ."
,"On the other hand , extant newspaper clippings from only a few days after the duel give a description of his opponent ( identified by the initials "" L. D. "" ) that",appear,True,"to more accurately apply to one of Galois' Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"
,"Specializing in short stories , she was one of the first important writers to",appear,True,in the Meiji period ( 1868 - 1912 ) and Japan's Japan 's first prominent woman writer of modern times .
,Several of her trademark themes,appear,True,"; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her ."
,"Higuchi's Higuchi 's likeness adorns the Japanese 5000 yen banknote as of fall 2004 , becoming the third woman to",appear,True,"on a Japanese banknote , after Empress Jingū in 1881 and Murasaki Shikibu in 2000 ."
,"Marbles has been in a relationship with fellow YouTuber Julien Solomita since 2013 , and the two live together in California with their four dogs , Marbles , Kermit , Peach and Bunny , who regularly",appear,True,in her videos . [ 26 ]
,My father’s father ’s plaited umbrella,appeared,True,", his still , imposing figure , and beside him another man appeared , tall and lean , astride an island mule ."
,The logic is that ( nearly ) all Wave 4 respondents,appeared,True,"in the Wave 1 sample , but not all would have been interviewed at Wave 3 due to differential patterns of temporary attrition ."
,"We all had our own interests — drawing , electronics , collecting beer caps — that each",appeared,True,obscure to anyone else .
,"It was vaguely uncomfortable , and",appeared,True,"sufficiently disturbing that we all volunteered each other in turn until , at last , Andy said he was game ."
,One of Fillmore's Fillmore 's most widely noticed works of the time ( with Paul Kay and Cathy O'Connor ),appeared,True,"in ' Language ' in 1988 as "" Regularity and Idiomaticity in Grammatical Constructions : The Case of Let Alone "" ."
,He then,appeared,True,"in a string of supporting roles in films like Woody Allen's Allen 's Match Point ( 2005 ) , the German - British romantic comedy Imagine Me and You ( 2006 ) , and the period drama Copying Beethoven ( 2006 ) ."
,"As well as appearing in films , Goode has",appeared,True,in numerous television shows .
,Marbles,appeared,True,"as Eve in season 2 of Epic Rap Battles of History , episode 13 , "" Adam vs. Eve "" [ 17 ]"
,As well as,appearing,True,"in films , Goode has appeared in numerous television shows ."
,"After 1949 , she began",appearing,True,"in films with small parts but continued primarily active in the theatre for several years — a year at the Théâtre National Populaire opposite among others Gérard Philipe and Robert Hirsch , then a breakout two years in dual roles in The Dazzling Hour by Anna Bonacci , then Jean Cocteau's Cocteau 's La Machine Infernale and others before another two-year run , this time in Shaw's Shaw 's Pygmalion . [ 6 ]"
,"From the late 1950s , after",appearing,True,"in several successful films , she began to work with the emerging generation of French film-makers ."
,He grew up in Texas and rose to fame in the early 2000s after,appearing,True,on the television series Gilmore Girls as well as the films New York Minute and House of Wax .
,In a recently-accepted Evolution paper Bos and colleagues describe ants,appearing,True,to self-medicate .
,"Although attrition may take place within the first few years , some studies suggest that it then",appears,True,"to level off , with no further losses occurring [ 17 ] , [ 18 ] ."
,"From all the press reports that I have read , the Indian government",appears,True,to have taken the threat of Cyclone Phailin very seriously indeed .
,The report says the decline in iodine intake,appears,True,"to be due to changes in the dairy industry , where chlorine-containing sanitisers have replaced iodine-containing sanitisers ."
,"For example , the Frontiers contingent of journals",appears,True,legitimate — at least to me — despite the fact that authors are expected to pay a publication fee . 8
,"By compiling data from published literature we found that in thirty-one languages around the world , the interjection for other-initiated repair",appears,True,to be strongly similar ( Figure 1 ) .
,"Albeit limited , these results provide valuable insight into SI interpretation by Chitonga-speaking children and demonstrate that pragmatic inference acquisition likely follows the order identified in previous research , but",appears,True,to be completed at a later age in this language .
,"I was no stranger to the taunts and insults , or the foot that",appears,True,from nowhere to trip you up en route from A to B .
,So showing the Paralympics live on United States television might turn out to be less glamorous than it,appears,True,.
